時間_顯示,肉類罐頭 (箱),其他肉類加工食品 (千元),冷凍冷藏水產食品 (公噸),水產品罐頭 (箱),其他水產加工食品 (千元),豆類加工食品 (千元),蔬果罐頭 (箱),冷凍冷藏蔬果 (公噸),其他蔬果加工及保藏食品 (千元),餅乾 (公噸),麵包 (千元),蛋糕西點 (千元),其他烘焙炊蒸食品 (千元),麵粉條類食品 (公噸),速食麵粉條類食品 (千箱),膳食罐頭 (箱),其他膳食及菜餚 (公噸),保健營養食品 (千元),食用冰製品 (千元),冷藏餐食 (千元),未分類其他食品 (千元),時間
2018-01,0.26,0.45,0.31,0.32,0.54,0.16,0.49,0.14,0.45,0.73,0.12,0.35,0.47,0.75,0.55,0.39,0.41,0.48,0.0,0.0,0.17,2018-01-31
2018-02,0.28,0.35,0.0,0.07,0.34,0.0,0.34,0.08,0.13,0.27,0.0,0.02,0.13,0.27,0.17,0.1,0.24,0.12,0.01,0.01,0.01,2018-02-28
2018-03,0.2,0.1,0.32,0.19,0.16,0.14,0.31,0.78,0.13,0.37,0.12,0.26,0.17,0.4,0.26,0.32,0.12,0.27,0.21,0.05,0.11,2018-03-31
2018-04,0.09,0.02,0.1,0.2,0.0,0.13,0.23,0.24,0.0,0.15,0.08,0.14,0.09,0.35,0.17,0.14,0.0,0.12,0.26,0.06,0.01,2018-04-30
2018-05,0.46,0.1,0.27,0.43,0.2,0.28,0.29,0.46,0.08,0.28,0.1,0.21,0.15,0.42,0.22,0.35,0.05,0.21,0.45,0.13,0.08,2018-05-31
2018-06,0.33,0.07,0.15,0.35,0.18,0.26,0.63,0.45,0.06,0.29,0.09,0.05,0.15,0.4,0.27,0.32,0.07,0.17,0.51,0.13,0.08,2018-06-30
2018-07,0.61,0.13,0.24,0.64,0.11,0.32,0.69,0.65,0.18,0.34,0.12,0.0,0.39,0.68,0.87,0.64,0.12,0.15,0.58,0.2,0.11,2018-07-31
2018-08,0.58,0.19,0.31,0.59,0.26,0.37,1.0,0.4,0.19,0.33,0.13,0.04,0.39,0.64,0.85,0.8,0.16,0.19,0.55,0.2,0.18,2018-08-31
2018-09,0.17,0.15,0.48,0.39,0.17,0.25,0.82,0.38,0.09,0.19,0.11,0.37,0.39,0.25,0.03,0.64,0.11,0.24,0.32,0.11,0.06,2018-09-30
2018-10,0.13,0.05,0.42,0.13,0.24,0.29,0.24,0.39,0.09,0.36,0.2,0.24,0.15,0.48,0.23,0.1,0.24,0.24,0.17,0.1,0.17,2018-10-31
