時間_顯示,冷凍冷藏蔬果 (公噸),速食麵粉條類食品 (千箱),膳食罐頭 (箱),食用冰製品 (千元),冷藏餐食 (千元)
18-Jan,0.14,0.55,0.39,0,0
18-Feb,0.08,0.17,0.1,0.01,0.01
18-Mar,0.78,0.26,0.32,0.21,0.05
18-Apr,0.24,0.17,0.14,0.26,0.06
18-May,0.46,0.22,0.35,0.45,0.13
18-Jun,0.45,0.27,0.32,0.51,0.13
18-Jul,0.65,0.87,0.64,0.58,0.2
18-Aug,0.4,0.85,0.8,0.55,0.2
18-Sep,0.38,0.03,0.64,0.32,0.11
18-Oct,0.39,0.23,0.1,0.17,0.1
18-Nov,0.31,0.16,0.02,0.11,0.08
18-Dec,0.16,0.19,0.13,0.06,0.1
19-Jan,0.27,0.6,0.34,0.07,0.14
19-Feb,0,0.02,0,0.07,0.09
19-Mar,0.39,0.23,0.26,0.21,0.16
19-Apr,0.38,0.2,0.2,0.36,0.18
19-May,0.53,0.3,0.3,0.5,0.25
19-Jun,0.45,0.35,0.33,0.7,0.25
19-Jul,0.66,0.97,0.74,1,0.29
19-Aug,0.4,0.62,0.72,0.85,0.31
19-Sep,0.52,0,0.62,0.47,0.22
19-Oct,0.59,0.24,0.15,0.37,0.24
19-Nov,0.65,0.19,0.1,0.25,0.11
19-Dec,0.38,0.23,0.26,0.17,0.19
20-Jan,0.03,0.53,0.32,0.16,0.46
20-Feb,0.22,0.21,0.1,0.21,0.16
20-Mar,0.7,0.51,0.46,0.43,0.17
20-Apr,0.42,0.43,0.33,0.44,0.08
20-May,0.54,0.27,0.29,0.59,0.25
20-Jun,0.52,0.25,0.37,0.79,0.3
20-Jul,0.66,0.79,0.82,0.85,0.39
20-Aug,0.26,0.83,1,0.76,0.42
20-Sep,0.56,0.12,0.74,0.54,0.33
20-Oct,0.38,0.24,0.29,0.33,0.32
20-Nov,0.47,0.19,0.2,0.25,0.26
20-Dec,0.19,0.21,0.17,0.12,0.22
21-Jan,0.29,0.68,0.43,0.09,0.28
21-Feb,0.07,0.18,0.1,0.18,0.25
21-Mar,0.96,0.23,0.29,0.41,0.35
21-Apr,0.4,0.28,0.28,0.44,0.33
21-May,0.53,0.54,0.54,0.65,0.28
21-Jun,0.63,0.55,0.65,0.78,0.08
21-Jul,0.55,0.84,0.97,0.82,0.2
21-Aug,0.49,0.56,0.9,0.73,0.33
21-Sep,0.78,0.08,0.76,0.54,0.36
21-Oct,0.64,0.19,0.39,0.45,0.46
21-Nov,0.56,0.3,0.31,0.28,0.37
21-Dec,0.17,0.26,0.29,0.25,0.4
22-Jan,0.54,0.69,0.47,0.15,0.36
22-Feb,0.28,0.07,0.15,0.14,0.25
22-Mar,1,0.36,0.51,0.5,0.51
22-Apr,0.29,0.37,0.37,0.45,0.44
22-May,0.36,0.42,0.55,0.49,0.39
22-Jun,0.65,0.41,0.53,0.75,0.44
22-Jul,0.99,0.85,0.88,0.83,0.64
22-Aug,0.86,0.4,0.9,0.81,0.62
22-Sep,0.59,0.07,0.81,0.57,0.6
22-Oct,0.79,0.22,0.31,0.34,0.62
22-Nov,0.78,0.25,0.27,0.32,0.59
22-Dec,0.41,0.37,0.32,0.19,0.58
23-Jan,0.02,0.47,0.36,0.1,0.54
23-Feb,0.39,0.22,0.14,0.16,0.45
23-Mar,0.89,0.42,0.32,0.38,0.73
23-Apr,0.1,0.3,0.26,0.4,0.6
23-May,0.61,0.46,0.36,0.51,0.67
23-Jun,0.72,0.36,0.43,0.66,0.66
23-Jul,0.75,0.86,0.68,0.79,0.77
23-Aug,0.7,0.83,0.88,0.82,0.79
23-Sep,0.43,0.19,0.76,0.66,0.76
23-Oct,0.44,0.34,0.14,0.44,0.8
23-Nov,0.4,0.33,0.17,0.34,0.71
23-Dec,0.18,0.31,0.17,0.22,0.72
24-Jan,0.25,0.79,0.45,0.17,0.68
24-Feb,0.18,0.18,0.18,0.2,0.59
24-Mar,0.46,0.34,0.3,0.34,0.75
24-Apr,0.34,0.31,0.21,0.53,0.76
24-May,0.82,0.39,0.32,0.65,0.84
24-Jun,0.89,0.41,0.32,0.69,0.76
24-Jul,0.72,1,0.61,0.84,0.95
24-Aug,0.7,0.66,0.91,0.91,0.93
24-Sep,0.51,0.16,0.64,0.78,0.95
24-Oct,0.48,0.49,0.14,0.66,1
24-Nov,0.49,0.32,0.14,0.54,0.88
24-Dec,0.23,0.36,0.18,0.41,0.88
